ind,Un-LDA-Km Predicted Label,Un-RTLDA Predicted Label,Un-TRLDA Predicted Label,SWULDA Predicted Label,Un-RT(CD)LDA Predicted Label,Un-TR(CD)LDA Predicted Label,Un-RT(A)LDA Predicted Label,Un-TR(A)LDA Predicted Label,Semisupervised-DAPC Predicted Label,Supervised-DAPC Predicted Label
9MKH002,6,3,1,13,6,0,10,0,1,3
9MKH003,6,3,1,13,12,0,10,0,1,3
9MKH016,4,1,1,0,5,0,9,0,1,3
9MKH017,4,1,1,13,5,0,9,0,1,3
9MKH018,4,1,1,12,9,0,9,0,1,3
9MKH019,4,1,1,12,2,0,9,0,1,3
9MKM001,4,1,1,12,12,0,9,0,1,3
9MKM002,4,1,1,12,12,0,9,0,1,3
9MKM003,4,1,1,12,5,0,9,0,1,3
9MKM004,6,3,1,13,0,0,10,0,1,3
9MKM005,1,4,1,6,8,0,2,0,1,3
9MKM006,4,1,1,12,13,0,9,0,1,3
9NFL001,1,4,1,13,12,0,10,0,1,8
9NJA001,1,4,1,5,0,0,6,0,1,6
9NJA002,9,5,1,5,6,0,8,0,1,6
9NJA003,1,4,1,6,12,0,2,0,1,6
9NJA004,9,5,1,5,3,0,8,0,1,6
9NJA005,9,5,1,5,6,0,2,0,1,6
9NJA006,9,5,1,5,6,0,8,0,1,6
9NJA007,9,4,1,5,6,0,2,0,1,6
9NJA008,9,5,1,5,6,0,8,0,1,6
9NJA009,9,5,1,5,6,0,10,0,1,6
9NJA010,9,5,1,5,6,0,8,0,1,6
9SNP001,4,1,1,13,1,0,6,0,1,3
9SNP002,1,4,1,4,1,0,10,0,1,3
9SNP003,1,4,1,13,5,0,10,0,1,3
9SNP004,6,3,1,13,7,0,10,0,1,3
9SNP005,4,1,1,12,4,0,9,0,1,3
9SNP006,4,1,1,2,3,0,9,0,1,3
9SNP007,4,1,1,13,0,0,9,0,1,3
9SNP008,4,1,1,13,1,0,9,0,1,3
9SNW001,4,1,1,13,3,0,9,0,1,3
9SNW002,4,1,1,13,8,0,9,0,1,3
9SNW003,4,1,1,2,12,0,9,0,1,3
9SNW004,4,1,1,2,7,0,9,0,1,3
9SNW005,4,1,1,12,11,0,9,0,1,3
9SNW006,4,1,1,12,3,0,9,0,1,3
9SNW007,4,1,1,13,4,0,9,0,1,3
9SNW008,4,1,1,13,3,0,9,0,1,3
9SRR002,1,4,1,8,13,1,6,0,1,7
9SRR003,1,4,1,12,9,0,6,0,1,7
9SRR004,7,9,1,9,11,1,11,0,1,7
9SRR005,7,9,1,9,0,1,11,0,1,7
9SRR006,7,9,1,9,13,1,11,0,1,7
9SRR007,10,8,0,8,5,1,0,0,2,7
9SRR008,10,8,0,9,8,1,0,0,2,7
9SRR009,7,9,1,9,12,1,11,0,2,7
9SRR010,10,8,1,6,5,1,0,0,2,7
9SRR011,10,8,0,9,5,1,0,0,2,7
9SRR012,10,8,0,9,4,1,0,0,2,7
9SRR013,7,9,1,9,9,1,11,0,2,7
9SRR014,7,9,1,9,12,1,11,0,2,7
9SRR016,7,9,1,8,6,1,11,0,2,7
9SRR017,7,9,1,10,13,1,11,0,2,7
9SRR018,7,9,1,8,10,1,11,0,1,7
9SRR019,7,9,1,9,9,1,11,0,2,7
9SRR020,7,9,1,8,6,1,11,0,2,7
9SRR021,7,9,1,8,6,1,11,0,2,7
9SRR023,7,9,1,9,8,1,11,0,2,7
